"file","func","value","site","tile","res","type"
"RMNP_2020_DEM_mosaic_2025-11-14_8_1m.tif","sa_1",103.113719354172,"RMNP","8","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_30m.tif","sa_1",103.346715453966,"RMNP","8","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_50m.tif","sa_1",102.996133959961,"RMNP","8","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_8_5m.tif","sa_1",103.112353652604,"RMNP","8","5","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_100m.tif","sa_1",108.783208746338,"RMNP","9","100","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_10m.tif","sa_1",109.053082914189,"RMNP","9","10","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_15m.tif","sa_1",109.03338459615,"RMNP","9","15","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_1m.tif","sa_1",109.056988918754,"RMNP","9","1","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_30m.tif","sa_1",109.003526775047,"RMNP","9","30","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_50m.tif","sa_1",108.966369503212,"RMNP","9","50","high-relief"
"RMNP_2020_DEM_mosaic_2025-11-14_9_5m.tif","sa_1",109.056037734803,"RMNP","9","5","high-relief"
"CPER_2020_DEM_mosaic_2025-11-14_1_100m.tif","sa_1",8.62289609680176,"CPER","1","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_10m.tif","sa_1",8.71394942135697,"CPER","1","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_15m.tif","sa_1",8.77978762268127,"CPER","1","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_1m.tif","sa_1",8.71514040883996,"CPER","1","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_30m.tif","sa_1",8.77107379042249,"CPER","1","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_50m.tif","sa_1",8.69039283237458,"CPER","1","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_1_5m.tif","sa_1",8.71482398783002,"CPER","1","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_100m.tif","sa_1",6.59130370788574,"CPER","2","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_10m.tif","sa_1",6.69857775773239,"CPER","2","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_15m.tif","sa_1",6.73387269905183,"CPER","2","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_1m.tif","sa_1",6.69982075453593,"CPER","2","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_30m.tif","sa_1",6.72511301249528,"CPER","2","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_50m.tif","sa_1",6.67194874610901,"CPER","2","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_2_5m.tif","sa_1",6.6994867975739,"CPER","2","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_100m.tif","sa_1",6.01276424713134,"CPER","3","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_10m.tif","sa_1",6.14632080746276,"CPER","3","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_15m.tif","sa_1",6.16572843274201,"CPER","3","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_1m.tif","sa_1",6.14791407649992,"CPER","3","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_30m.tif","sa_1",6.15512734485016,"CPER","3","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_50m.tif","sa_1",6.11020939369202,"CPER","3","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_3_5m.tif","sa_1",6.14750551979468,"CPER","3","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_100m.tif","sa_1",9.24420162200927,"CPER","4","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_10m.tif","sa_1",9.27233352280883,"CPER","4","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_15m.tif","sa_1",9.28920474744142,"CPER","4","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_1m.tif","sa_1",9.27272369809467,"CPER","4","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_30m.tif","sa_1",9.28702469275632,"CPER","4","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_50m.tif","sa_1",9.26541586799622,"CPER","4","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_4_5m.tif","sa_1",9.27261766772672,"CPER","4","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_100m.tif","sa_1",4.94421493530273,"CPER","5","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_10m.tif","sa_1",5.00348827687255,"CPER","5","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_15m.tif","sa_1",5.00435176461716,"CPER","5","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_1m.tif","sa_1",5.0042729254765,"CPER","5","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_30m.tif","sa_1",4.9995040793424,"CPER","5","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_50m.tif","sa_1",4.9859557641983,"CPER","5","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_5_5m.tif","sa_1",5.00404436406918,"CPER","5","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_100m.tif","sa_1",7.82517344970703,"CPER","6","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_10m.tif","sa_1",7.91512076502472,"CPER","6","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_15m.tif","sa_1",7.92637953543042,"CPER","6","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_1m.tif","sa_1",7.91612267189547,"CPER","6","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_30m.tif","sa_1",7.92008099912719,"CPER","6","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_50m.tif","sa_1",7.89248206214905,"CPER","6","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_6_5m.tif","sa_1",7.91585924368045,"CPER","6","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_100m.tif","sa_1",8.57009670562745,"CPER","7","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_10m.tif","sa_1",8.66551060723313,"CPER","7","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_15m.tif","sa_1",8.68444395553773,"CPER","7","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_1m.tif","sa_1",8.66673279869904,"CPER","7","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_30m.tif","sa_1",8.67696872869439,"CPER","7","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_50m.tif","sa_1",8.64230818481445,"CPER","7","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_7_5m.tif","sa_1",8.6663898904603,"CPER","7","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_100m.tif","sa_1",10.0225937805176,"CPER","8","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_10m.tif","sa_1",10.0638416740556,"CPER","8","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_15m.tif","sa_1",10.1027985692898,"CPER","8","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_1m.tif","sa_1",10.0643660841452,"CPER","8","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_30m.tif","sa_1",10.1000406886168,"CPER","8","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_50m.tif","sa_1",10.0524708476067,"CPER","8","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_8_5m.tif","sa_1",10.0642327800663,"CPER","8","5","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_100m.tif","sa_1",4.35621620330811,"CPER","9","100","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_10m.tif","sa_1",4.39960656584688,"CPER","9","10","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_15m.tif","sa_1",4.43364175319957,"CPER","9","15","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_1m.tif","sa_1",4.40074129791399,"CPER","9","1","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_30m.tif","sa_1",4.42822469705516,"CPER","9","30","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_50m.tif","sa_1",4.38506181449891,"CPER","9","50","flat"
"CPER_2020_DEM_mosaic_2025-11-14_9_5m.tif","sa_1",4.4003470470178,"CPER","9","5","flat"
"WOOD_2019_DEM_mosaic_2025-11-14_1_100m.tif","sa_1",6.802461378479,"WOOD","1","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_10m.tif","sa_1",6.88680981875,"WOOD","1","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_15m.tif","sa_1",6.89989590240382,"WOOD","1","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_1m.tif","sa_1",6.88939008228709,"WOOD","1","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_30m.tif","sa_1",6.88918797352103,"WOOD","1","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_50m.tif","sa_1",6.85609058618546,"WOOD","1","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_1_5m.tif","sa_1",6.88856542724854,"WOOD","1","5","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_100m.tif","sa_1",5.83938473510743,"WOOD","2","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_10m.tif","sa_1",5.96211053403549,"WOOD","2","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_15m.tif","sa_1",5.96506869643909,"WOOD","2","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_1m.tif","sa_1",5.96522641224165,"WOOD","2","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_30m.tif","sa_1",5.95143440512153,"WOOD","2","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_50m.tif","sa_1",5.91840323495865,"WOOD","2","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_2_5m.tif","sa_1",5.96417552152225,"WOOD","2","5","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_100m.tif","sa_1",5.96200379333496,"WOOD","3","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_10m.tif","sa_1",6.05248953877067,"WOOD","3","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_15m.tif","sa_1",6.06501317352943,"WOOD","3","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_1m.tif","sa_1",6.05484825494411,"WOOD","3","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_30m.tif","sa_1",6.05509006304747,"WOOD","3","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_50m.tif","sa_1",6.02076754059792,"WOOD","3","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_3_5m.tif","sa_1",6.05409541442536,"WOOD","3","5","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_100m.tif","sa_1",5.74743862609863,"WOOD","4","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_10m.tif","sa_1",5.80025821383148,"WOOD","4","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_15m.tif","sa_1",5.8186764326667,"WOOD","4","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_1m.tif","sa_1",5.80207902881382,"WOOD","4","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_30m.tif","sa_1",5.81134162545328,"WOOD","4","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_50m.tif","sa_1",5.77804522109031,"WOOD","4","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_4_5m.tif","sa_1",5.8015256673592,"WOOD","4","5","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_100m.tif","sa_1",6.6868964263916,"WOOD","5","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_10m.tif","sa_1",6.76134933323524,"WOOD","5","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_15m.tif","sa_1",6.7542113369009,"WOOD","5","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_1m.tif","sa_1",6.76358267606405,"WOOD","5","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_30m.tif","sa_1",6.74510216421252,"WOOD","5","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_50m.tif","sa_1",6.73819026851654,"WOOD","5","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_5_5m.tif","sa_1",6.76285650640559,"WOOD","5","5","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_100m.tif","sa_1",7.00520343475342,"WOOD","6","100","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_10m.tif","sa_1",7.07011327207886,"WOOD","6","10","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_15m.tif","sa_1",7.09455379468897,"WOOD","6","15","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_1m.tif","sa_1",7.07221122045423,"WOOD","6","1","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_30m.tif","sa_1",7.08410486832449,"WOOD","6","30","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_50m.tif","sa_1",7.04364277801514,"WOOD","6","50","pitted"
"WOOD_2019_DEM_mosaic_2025-11-14_6_5m.tif","sa_1",7.07154123627853,"WOOD","6","5","pitted"
